0.00	0.00
0.10	9359.85
0.50	9263.03
1.00	9184.49
1.50	9118.59
2.00	9061.93
2.50	9012.31
3.00	8968.24
3.50	8928.65
4.00	8892.74
4.50	8859.92
5.00	8829.72
5.50	8801.76
6.00	8775.76
6.50	8751.47
7.00	8728.69
7.50	8707.25
8.00	8687.01
8.50	8667.85
9.00	8649.67
9.50	8632.37
10.00	8615.88
10.50	8600.13
11.00	8585.06
11.50	8570.61
12.00	8556.75
12.50	8543.42
13.00	8530.59
13.50	8518.23
14.00	8506.30
14.50	8494.77
15.00	8483.63
15.50	8472.85
16.00	8462.40
16.50	8452.27
17.00	8442.44
17.50	8432.90
18.00	8423.62
18.50	8414.60
19.00	8405.82
19.50	8397.27
20.00	8388.94
20.10	0.00
